wbic,county,lakePerimeter_m,lakeArea_m2,buildingCount50m,buildingCount100m,buildingCount200m,buildingDensity50m,buildingDensity100m,buildingDensity200m,surveyYear
1564200,Oneida,12128.41799,2493015.425,229,453,549,18.88127538,37.35029584,45.26559033,2010
1569600,Oneida,9779.287299,1791452.799,140,264,343,14.31597168,26.99583231,35.07413061,2010
1569900,Oneida,11434.7717,1623666.074,84,220,291,7.346014613,19.23956208,25.44869348,2010
1572000,Oneida,4311.520739,1023651.559,48,107,134,11.1329628,24.81722958,31.07952115,2010
1572300,Oneida,2912.156835,415679.9811,7,17,39,2.403716694,5.837597686,13.39213587,2010
1573800,Oneida,6326.128025,1865045.199,57,145,220,9.010250784,22.9208134,34.77640654,2010
1579900,Oneida,26207.39763,14345576.2,630,1160,1351,24.03901406,44.2623116,51.55033014,2010
1586600,Oneida,4321.221405,498055.5621,7,17,35,1.619912368,3.934072894,8.099561842,2010
1588200,Oneida,14235.46449,2910074.583,155,311,357,10.88829944,21.84684597,25.07821225,2010
1589100,Oneida,7491.661047,1243841.759,39,82,103,5.20578811,10.94550321,13.74861988,2010
1595300,Oneida,62804.87629,12759987.29,71,118,171,1.130485468,1.878835004,2.722718523,2010
1595600,Oneida,6870.885291,1160518.791,38,86,102,5.530582798,12.51658212,14.84524856,2010
1595800,Oneida,11368.09103,1900149.397,40,79,103,3.518620664,6.949275812,9.06044821,2010
1596900,Oneida,11657.77366,2962663.334,79,220,292,6.776594082,18.87152782,25.0476642,2010
1597000,Oneida,8051.579645,2215273.49,56,135,178,6.955156934,16.76689618,22.10746311,2010
1597600,Oneida,4967.276101,721650.0583,6,23,23,1.207905475,4.630304322,4.630304322,2010
1598000,Oneida,4506.14434,813109.0108,91,147,187,20.19464827,32.62212413,41.4988926,2010
1603800,Oneida,19850.08396,3740715.652,42,130,157,2.115860068,6.549090687,7.909286445,2010
1605800,Oneida,10016.43516,2097075.799,20,79,123,1.996718361,7.887037528,12.27981792,2010
1609000,Oneida,15713.06265,2445409.755,168,290,337,10.69174124,18.45598191,21.4471238,2010
1609100,Oneida,18676.54837,4089328.942,183,395,484,9.798384392,21.14951822,25.91485271,2010
1609600,Oneida,3667.199915,575743.5162,47,113,145,12.81631792,30.81370054,39.53970423,2010
1610300,Oneida,3192.099092,520518.0639,37,90,131,11.59111886,28.19461345,41.03882625,2010
1610400,Oneida,3878.525133,612071.2639,42,79,102,10.82885854,20.36856725,26.29865645,2010
1610500,Oneida,8169.106726,1232353.058,110,179,202,13.46536454,21.91182047,24.72730578,2010
1610600,Oneida,7323.530404,1361463.246,61,129,180,8.32931614,17.61445544,24.57830992,2010
1610700,Oneida,9242.076212,2682088.831,106,187,227,11.46928434,20.23354879,24.56158062,2010
1610800,Oneida,6634.333982,848203.3162,27,40,45,4.069737832,6.029241233,6.782896387,2010
1611700,Oneida,7315.425787,1602017.65,83,162,210,11.34588777,22.14498578,28.70646304,2010
1611800,Oneida,10533.8899,1006258.346,85,144,189,8.069193892,13.67016377,17.94208995,2010
1612200,Oneida,11203.25945,2455566.394,137,284,400,12.22858406,25.34976551,35.70389508,2010
1612300,Oneida,9554.76431,761590.7743,39,149,214,4.081733336,15.59431454,22.39720343,2010
1612900,Oneida,5973.662911,816283.5619,49,117,148,8.202672419,19.58597292,24.77541874,2010
1613000,Oneida,11000.40441,3418722.005,123,228,278,11.1814071,20.72651072,25.27179816,2010
1618100,Oneida,17315.85694,7261528.363,34,89,106,1.963518185,5.139797603,6.121556695,2010
2271600,Oneida,15890.45153,2976717.382,117,274,301,7.362912236,17.24305943,18.94219302,2010
2272600,Oneida,9893.179393,2596480.46,18,76,100,1.819435319,7.682060234,10.10797399,2010
716800,Vilas,10082.79866,4051525.244,39,116,158,3.867973696,11.50474228,15.67025241,2017
995200,Vilas,8238.873832,2539800.744,21,55,73,2.548892049,6.675669651,8.860434264,2017
1018500,Vilas,5826.297288,872113.3811,29,102,133,4.977432247,17.50683066,22.8275341,2017
1539700,Vilas,7714.458718,1067658.309,67,181,247,8.684990412,23.46243678,32.01780047,2017
1545300,Vilas,7895.059213,1942087.713,24,80,129,3.039875871,10.13291957,16.33933281,2017
1545600,Vilas,13494.88662,4331578.087,66,165,245,4.890741349,12.22685337,18.15502471,2017
1591100,Vilas,12994.03043,6563022.921,98,402,589,7.541924773,30.93728325,45.32850705,2017
1592400,Vilas,21548.19544,4279474.552,189,383,504,8.771036095,17.77411018,23.38942959,2017
1593100,Vilas,19124.09408,4934021.195,54,92,121,2.823663165,4.810685391,6.327097091,2017
1596300,Vilas,22961.06413,3932298.047,325,730,946,14.15439625,31.79295158,41.20018108,2017
1599600,Vilas,6413.927303,775866.945,39,173,239,6.080517935,26.97255392,37.26266119,2017
1599900,Vilas,2517.684598,428707.3013,37,114,193,14.69604256,45.27969869,76.65773551,2017
1600000,Vilas,1793.26382,127451.5672,22,46,80,12.26813353,25.65155194,44.61139467,2017
1600100,Vilas,3760.13505,703373.7372,64,136,224,17.02066525,36.16891367,59.57232839,2017
1600200,Vilas,7489.941419,2326247.008,76,190,272,10.14694184,25.36735461,36.31537081,2017
1600300,Vilas,6808.817984,1065443.225,35,144,209,5.140392956,21.1490453,30.69548936,2017
1603400,Vilas,9224.816941,579314.0626,41,132,178,4.444532641,14.30922704,19.29577585,2017
1603700,Vilas,16999.93713,3956039.105,166,513,744,9.764741997,30.1765822,43.76486775,2017
1621000,Vilas,8528.81581,1530390.797,55,170,234,6.448726438,19.93242717,27.43639975,2017
1621800,Vilas,8418.34372,1995115.517,74,188,239,8.790327701,22.33218389,28.39038271,2017
1623800,Vilas,17352.00674,11618560.29,211,514,744,12.15997683,29.62193408,42.87688513,2017
1629500,Vilas,10823.65038,2372770.85,94,222,259,8.684685548,20.51064034,23.92908039,2017
1630100,Vilas,12298.80586,2281658.216,139,274,317,11.30191025,22.27858566,25.77486006,2017
1631900,Vilas,31399.41421,17806930.41,136,319,489,4.331290995,10.1594252,15.57353894,2017
1835300,Vilas,16140.98149,3631625.991,24,52,71,1.486898428,3.221613261,4.398741183,2017
1862100,Vilas,3189.43912,156979.0445,0,0,0,0,0,0,2017
1881900,Vilas,3777.453834,636025.1852,9,17,23,2.382557245,4.500385907,6.088757404,2017
2268600,Vilas,3794.15338,569856.6264,9,35,51,2.372070683,9.224719324,13.44173387,2017
2310200,Vilas,10842.66866,1886606.129,72,190,261,6.640431638,17.52336127,24.07156469,2017
2310400,Vilas,8760.062684,1453446.336,108,211,259,12.3286789,24.08658564,29.56599848,2017
2311100,Vilas,10270.18526,2048601.813,91,229,276,8.860599661,22.29755299,26.87390666,2017
2311700,Vilas,5933.041875,486617.5482,32,83,107,5.393523369,13.98945124,18.03459376,2017
2316600,Vilas,6281.480762,1248729.805,21,36,38,3.343160761,5.731132732,6.049528995,2017
2327500,Vilas,14282.83608,2650440.779,134,280,348,9.381890214,19.6039497,24.36490891,2017
2328700,Vilas,13272.63833,1709402.195,103,261,307,7.760325977,19.66451534,23.13029199,2017
2328800,Vilas,5896.129008,557276.7641,36,91,127,6.105700868,15.43385497,21.53955584,2017
2328900,Vilas,4514.204351,282795.9873,13,37,68,2.87979874,8.196350259,15.06356264,2017
2329000,Vilas,7869.405073,2084726.066,40,118,149,5.082976366,14.99478028,18.93408696,2017
2329300,Vilas,9574.069468,1125548.653,109,284,351,11.38491844,29.66345721,36.66152634,2017
2329400,Vilas,13565.50053,2006569.772,171,341,407,12.60550612,25.13729584,30.0025789,2017
2329600,Vilas,4604.765771,1069566.421,43,90,114,9.338151415,19.54496808,24.75695957,2017
2329800,Vilas,6035.728979,1554266.746,31,86,116,5.136082172,14.24848602,19.21888813,2017
2331600,Vilas,32448.08454,15638240.96,131,304,448,4.037218279,9.368811884,13.80667014,2017
2332400,Vilas,9422.641923,1641117.505,0,0,0,0,0,0,2017
2334300,Vilas,6288.728536,1052179.074,91,176,234,14.47033363,27.98657932,37.20942932,2017
2334400,Vilas,19988.47753,3501526.943,140,280,355,7.004035188,14.00807038,17.76023208,2017
2334700,Vilas,15215.55438,3347132.85,58,117,128,3.811888713,7.689499644,8.412444055,2017
2338300,Vilas,11219.27252,2086688.132,57,153,207,5.080543314,13.63724784,18.45039414,2017
2339800,Vilas,9993.314526,1130855.59,5,20,21,0.500334497,2.001337989,2.101404889,2017
2340500,Vilas,3944.323039,456967.1441,8,23,29,2.028231441,5.831165393,7.352338973,2017
2340700,Vilas,8994.412975,2033907.137,35,75,98,3.891304535,8.338509718,10.8956527,2017
2340900,Vilas,6622.026897,1694270.013,0,5,10,0,0.755055828,1.510111655,2017
2953500,Vilas,27509.39735,3678157.104,97,147,158,3.526067793,5.343628511,5.743491868,2017
2953800,Vilas,6715.984789,787028.7073,47,67,75,6.998229073,9.976198891,11.16738682,2017
2954500,Vilas,11134.83311,1243188.018,73,123,138,6.556003067,11.04641613,12.39354004,2017
2954800,Vilas,23181.4346,2117169.716,156,301,333,6.729523115,12.98452857,14.36494357,2017
2956500,Vilas,15998.45935,4715123.541,124,295,353,7.750746323,18.43927553,22.06462461,2017
2956700,Vilas,2568.493053,274095.3867,5,8,9,1.946666741,3.114666785,3.504000134,2017
2956800,Vilas,8522.385234,930841.0256,77,140,158,9.035029265,16.42732594,18.5394107,2017
2958500,Vilas,9217.25785,2160769,32,118,144,3.471748379,12.80207215,15.62286771,2017
2962400,Vilas,10183.61021,1833588.763,20,26,35,1.963940055,2.553122071,3.436895096,2017
