"lakeID","lkmeanCPE","lksdCPE"
"AQ",1.11965007034435,1.32692001279428
"AR",0.648148148148148,0.448017454690925
"BA",2.30492424242424,1.62597684373349
"BH",0.2,NA
"BK",2.03141025641026,1.38427059255646
"BOT",0.872962631679905,0.915324882918671
"BY",1.49029822981586,1.32046128481579
"DS",1.31240099295235,1.07561109188601
"DY",2.24589609527308,1.57784721304546
"FD",0.48587864716897,0.428420470685643
"HT",1.01909722222222,0.780698458511925
"IV",1.98744604020559,0.996931904886133
"JS",0.894761493786475,0.964754326283305
"LC",0.1875,0.104858811600983
"LE",0.585321962720554,0.332632613591866
"LH",0.208333333333333,0.110239637961025
"LR",0.266666666666667,0.129099444873581
"LT",1.52361586968249,1.45676705431161
"LV",1.15623499716561,1.05355577715596
"MK",1.35,0.741619848709566
"MS",1,0.687184270936277
"NH",1.77447977171891,1.00850607948933
"OB",0.25,NA
"PK",1.34742974550294,1.05034980064753
"PN",1.41544981064171,1.00401227587454
"PT",1.63336074163898,0.984451118725983
"SA",1.07608816893144,0.501305742668544
"SE",2.63294966764819,1.92608252937966
"SV",0.981272097699597,0.615398066960639
"TO",1.21337839089753,1.0511862189142
"UG",2.37437928496893,1.6955595869965
"WB",2.40030297356098,1.5251589611362
"WC",0.116666666666667,0.0456435464587638
"WS",0.572375905212908,0.38346147208084
