siteID,lakeID,siteName,lat,long,UTM,updateID,siteID,sampleID,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,crew,weather,comments,metadataID,updateID,projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,metadataID,comments,updateID
TO_DeepHole,TO,DeepHole,,,,,TO_DeepHole,TO_DeepHole_20180722_0000_point_0_Limno.Sample.20160505,7/22/18,7/22/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,TO_DeepHole_20180722_0000_point_0_Limno.Sample.20160505,TO,DeepHole,7/22/18,7/22/18 0:00,point,0,0,23.3,,,49.7,,,,,,
FD_DeepHole,FD,DeepHole,,,,,FD_DeepHole,FD_DeepHole_20180724_0000_point_0_Limno.Sample.20160505,7/24/18,7/24/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,FD_DeepHole_20180724_0000_point_0_Limno.Sample.20160505,FD,DeepHole,7/24/18,7/24/18 0:00,point,0,0,24.8,,,54.2,,,,,,
TO_DeepHole,TO,DeepHole,,,,,TO_DeepHole,TO_DeepHole_20180718_0000_point_0_Limno.Sample.20160505,7/18/18,7/18/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,TO_DeepHole_20180718_0000_point_0_Limno.Sample.20160505,TO,DeepHole,7/18/18,7/18/18 0:00,point,0,0,25.4,,,49.5,,,,,,
LT_DeepHole,LT,DeepHole,,,,,LT_DeepHole,LT_DeepHole_20180725_0000_point_0_Limno.Sample.20160505,7/25/18,7/25/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,LT_DeepHole_20180725_0000_point_0_Limno.Sample.20160505,LT,DeepHole,7/25/18,7/25/18 0:00,point,0,0,23.5,,,82.2,,,,,,
MS_DeepHole,MS,DeepHole,,,,,MS_DeepHole,MS_DeepHole_20180725_0000_point_0_Limno.Sample.20160505,7/25/18,7/25/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,MS_DeepHole_20180725_0000_point_0_Limno.Sample.20160505,MS,DeepHole,7/25/18,7/25/18 0:00,point,0,0,23.2,,,78.5,,,,,,
WS_DeepHole,WS,DeepHole,,,,,WS_DeepHole,WS_DeepHole_20180726_0000_point_0_Limno.Sample.20160505,7/26/18,7/26/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,WS_DeepHole_20180726_0000_point_0_Limno.Sample.20160505,WS,DeepHole,7/26/18,7/26/18 0:00,point,0,0,22.3,,,7.4,,,,,,
LR_DeepHole,LR,DeepHole,,,,,LR_DeepHole,LR_DeepHole_20180729_0000_point_0_Limno.Sample.20160505,7/29/18,7/29/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,LR_DeepHole_20180729_0000_point_0_Limno.Sample.20160505,LR,DeepHole,7/29/18,7/29/18 0:00,point,0,0,23.6,,,149.5,,,,,,
LH_DeepHole,LH,DeepHole,,,,,LH_DeepHole,LH_DeepHole_20180802_0000_point_0_Limno.Sample.20160505,8/2/18,8/2/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,LH_DeepHole_20180802_0000_point_0_Limno.Sample.20160505,LH,DeepHole,8/2/18,8/2/18 0:00,point,0,0,20.9,,,90.7,,,,,,
WC_DeepHole,WC,DeepHole,,,,,WC_DeepHole,WC_DeepHole_20180805_0000_point_0_Limno.Sample.20160505,8/5/18,8/5/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,WC_DeepHole_20180805_0000_point_0_Limno.Sample.20160505,WC,DeepHole,8/5/18,8/5/18 0:00,point,0,0,22.9,,,168.9,,,,,,
FD_DeepHole,FD,DeepHole,,,,,FD_DeepHole,FD_DeepHole_20180807_0000_point_0_Limno.Sample.20160505,8/7/18,8/7/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,FD_DeepHole_20180807_0000_point_0_Limno.Sample.20160505,FD,DeepHole,8/7/18,8/7/18 0:00,point,0,0,25,,,53,,,,,,
TO_DeepHole,TO,DeepHole,,,,,TO_DeepHole,TO_DeepHole_20180808_0000_point_0_Limno.Sample.20160505,8/8/18,8/8/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,TO_DeepHole_20180808_0000_point_0_Limno.Sample.20160505,TO,DeepHole,8/8/18,8/8/18 0:00,point,0,0,23.5,,,49.9,,,,,,
LC_DeepHole,LC,DeepHole,,,,,LC_DeepHole,LC_DeepHole_20180809_0000_point_0_Limno.Sample.20160505,8/9/18,8/9/18 0:00,point,0,0,CD,,,Limno.Sample.20160505,,37,LC_DeepHole_20180809_0000_point_0_Limno.Sample.20160505,LC,DeepHole,8/9/18,8/9/18 0:00,point,0,0,25.1,,,117,,,,,,
WC_DeepHole,WC,DeepHole,,,,,WC_DeepHole,WC_DeepHole_20180925_0000_point_0_Limno.Sample.20160505,9/25/18,9/25/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,WC_DeepHole_20180925_0000_point_0_Limno.Sample.20160505,WC,DeepHole,9/25/18,9/25/18 0:00,point,0,0,15.2,,,173,,,,,,
LC_DeepHole,LC,DeepHole,,,,,LC_DeepHole,LC_DeepHole_20180925_0000_point_0_Limno.Sample.20160505,9/25/18,9/25/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,LC_DeepHole_20180925_0000_point_0_Limno.Sample.20160505,LC,DeepHole,9/25/18,9/25/18 0:00,point,0,0,16.5,,,123,,,,,,
WC_DeepHole,WC,DeepHole,,,,,WC_DeepHole,WC_DeepHole_20180923_0000_point_0_Limno.Sample.20160505,9/23/18,9/23/18 0:00,point,0,0,AR,,,Limno.Sample.20160505,,37,WC_DeepHole_20180923_0000_point_0_Limno.Sample.20160505,WC,DeepHole,9/23/18,9/23/18 0:00,point,0,0,17.5,,,170.1,,,,,,
