Age 0 to age 1 mortality with PE for cultivation/depensation ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lagged,,,,,,
WBICYR(Age 0),MWBC,COUNTY,LAKE,AREA,YEAR,WRC (at Age0),Avg AGE0CPE (t),Avg Age1CPE (t+1),Adult PE (t),Adult no./acre,Surv.,M,S,M,,,Age0,M,
15236002000,1523600,ONEIDA,BEARSKIN L,400,2000,NR,60.1785714,6.9642857,3076,7.69,0.12,0.88,,,,,,,
15236002002,1523600,ONEIDA,BEARSKIN L,400,2002,NR,21.25,6.6071429,2984,7.46,0.31,0.69,,,,,,,
15236002004,1523600,ONEIDA,BEARSKIN L,400,2004,NR,217.5,15.3571429,7467,18.6675,0.07,0.93,,,,,,,
15236002006,1523600,ONEIDA,BEARSKIN L,400,2006,NR,193.3928571,72.5,3787,9.4675,0.37,0.63,,,,,,,
15236002008,1523600,ONEIDA,BEARSKIN L,400,2008,NR,132.4,75,4349,10.8725,0.57,0.43,,,,,,,
15236002010,1523600,ONEIDA,BEARSKIN L,400,2010,NR,55.1785714,3.0357143,4039,10.0975,0.06,0.94,,,,,,,
15236002012,1523600,ONEIDA,BEARSKIN L,400,2012,NR,102.3214286,43.3928571,3946,9.865,0.42,0.58,,,,,,,
15236002014,1523600,ONEIDA,BEARSKIN L,400,2014,NR,46.6071429,18.3928571,6863,17.1575,0.39,0.61,,,,,,,
15236002015,1523600,ONEIDA,BEARSKIN L,400,2015,NR,58.5714286,27.3214286,3571,8.9275,0.47,0.53,,,,,,,
15236002016,1523600,ONEIDA,BEARSKIN L,400,2016,NR,21.4285714,20,3621,9.0525,0.93,0.07,,,,,,,
15456001986,1545600,VILAS,BIG ARBOR VITAE L,1090,1986,NR,13.2051282,4.1025641,12003,11.01192661,0.31,0.69,,,,,,,
15456001993,1545600,VILAS,BIG ARBOR VITAE L,1090,1993,NR,21.025641,13.8461538,9864,9.049541284,0.66,0.34,,,,,,,
15456001996,1545600,VILAS,BIG ARBOR VITAE L,1090,1996,NR,127.5641026,26.9090909,5793,5.314678899,0.21,0.79,,,,,,,
15456001998,1545600,VILAS,BIG ARBOR VITAE L,1090,1998,NR,29.1025641,1.6363636,5329,4.888990826,0.06,0.94,,,,,,,
15456002001,1545600,VILAS,BIG ARBOR VITAE L,1090,2001,C-NR,93.7179487,7.9032258,8114,7.444036697,0.08,0.92,,,,,,,
15456002005,1545600,VILAS,BIG ARBOR VITAE L,1090,2005,C-NR,28.974359,1.2820513,6860,6.293577982,0.04,0.96,,,,,,,
15456002008,1545600,VILAS,BIG ARBOR VITAE L,1090,2008,NR,9.4871795,0.8974359,6290,5.770642202,0.09,0.91,,,,,,,
15456002011,1545600,VILAS,BIG ARBOR VITAE L,1090,2011,NR,17.0512821,0,8515,7.811926606,0.00,1.00,,,,,,,
15456002014,1545600,VILAS,BIG ARBOR VITAE L,1090,2014,NR,5.6410256,0.1282051,8253,7.571559633,0.02,0.98,,,,,,,
23388001993,2338800,VILAS,BIG CROOKED L,682,1993,NR,8.6,0.6,2921,4.282991202,0.07,0.93,,,,,,,
23388001994,2338800,VILAS,BIG CROOKED L,682,1994,NR,17.4,8.2,4141,6.071847507,0.47,0.53,,,,,,,
23388001995,2338800,VILAS,BIG CROOKED L,682,1995,NR,32,12.2,5156,7.560117302,0.38,0.62,,,,,,,
23388001996,2338800,VILAS,BIG CROOKED L,682,1996,NR,24.4,6,4922,7.217008798,0.25,0.75,,,,,,,
23388001997,2338800,VILAS,BIG CROOKED L,682,1997,NR,34.4,8,4371,6.409090909,0.23,0.77,,,,,,,
23388001998,2338800,VILAS,BIG CROOKED L,682,1998,NR,58.2,0,4425,6.488269795,0.00,1.00,,,,,,,
23388001999,2338800,VILAS,BIG CROOKED L,682,1999,NR,54.6,1.2,2653,3.890029326,0.02,0.98,,,,,,,
23388002002,2338800,VILAS,BIG CROOKED L,682,2002,NR,126.2,1.6,2042,2.994134897,0.01,0.99,,,,,,,
23388002003,2338800,VILAS,BIG CROOKED L,682,2003,NR,43.2,23.4,2049,3.004398827,0.54,0.46,,,,,,,
23388002006,2338800,VILAS,BIG CROOKED L,682,2006,NR,31.6,0,1301,1.907624633,0.00,1.00,,,,,,,
23388002007,2338800,VILAS,BIG CROOKED L,682,2007,NR,38.2,1.4,1724,2.527859238,0.04,0.96,,,,,,,
23388002008,2338800,VILAS,BIG CROOKED L,682,2008,NR,45.2,22.8,1898,2.782991202,0.50,0.50,,,,,,,
23388002009,2338800,VILAS,BIG CROOKED L,682,2009,NR,5.6,0,1758,2.57771261,0.00,1.00,,,,,,,
16107001994,1610700,ONEIDA,BIG FORK L,690,1994,NR,58.0246914,20.5555556,2499,3.62173913,0.35,0.65,,,,,,,
16107002007,1610700,ONEIDA,BIG FORK L,690,2007,C-NR,36.6666667,26.8518519,4040,5.855072464,0.73,0.27,,,,,,,
16130001994,1613000,ONEIDA,BIG L,865,1994,NR,64.5454545,18.9393939,3072,3.551445087,0.29,0.71,,,,,,,
23347001990,2334700,VILAS,BIG L (BOULDER JCT),835,1990,NR,19.5833333,15.2083333,2857,3.421556886,0.78,0.22,,,,,,,
23347002001,2334700,VILAS,BIG L (BOULDER JCT),835,2001,NR,30,10.2083333,2631,3.150898204,0.34,0.66,,,,,,,
23347002006,2334700,VILAS,BIG L (BOULDER JCT),835,2006,NR,32.1875,9.0322581,2428,2.907784431,0.28,0.72,,,,,,,
