"wbic","county","lakePerimeter_m","lakeArea_m2","buildingCount50m","buildingCount100m","buildingCount200m","buildingDensity50m","buildingDensity100m","buildingDensity200m"
1605800,"Oneida",10016.435159767,2097075.79856127,20,79,123,NA,NA,NA
1609000,"Oneida",15713.0626497199,2445409.75501163,168,290,337,NA,NA,NA
1609100,"Oneida",18676.5483661161,4089328.94190349,183,395,484,NA,NA,NA
1609600,"Oneida",3667.1999154761,575743.516236939,47,113,145,NA,NA,NA
1610300,"Oneida",3192.09909189256,520518.063867113,37,90,131,NA,NA,NA
1610400,"Oneida",3878.52513259404,612071.263872751,42,79,102,NA,NA,NA
1610500,"Oneida",8169.10672584201,1232353.05778367,110,179,202,NA,NA,NA
1610600,"Oneida",7323.53040429133,1361463.24579814,61,129,180,NA,NA,NA
1610700,"Oneida",9242.07621187152,2682088.83121055,106,187,227,NA,NA,NA
1610800,"Oneida",6634.33398244551,848203.316234881,27,40,45,NA,NA,NA
1611700,"Oneida",7315.42578703419,1602017.65006409,83,162,210,NA,NA,NA
1611800,"Oneida",10533.8898952268,1006258.3464198,85,144,189,NA,NA,NA
1612200,"Oneida",11203.259451407,2455566.39398295,137,284,400,NA,NA,NA
1612300,"Oneida",9554.76431000623,761590.774336379,39,149,214,NA,NA,NA
1612900,"Oneida",5973.6629109253,816283.561920853,49,117,148,NA,NA,NA
1613000,"Oneida",11000.4044121984,3418722.00487931,123,228,278,NA,NA,NA
1618100,"Oneida",17315.8569420302,7261528.36304656,34,89,106,NA,NA,NA
2271600,"Oneida",15890.4515286629,2976717.38230696,117,274,301,NA,NA,NA
2272600,"Oneida",9893.17939260595,2596480.45997917,18,76,100,NA,NA,NA
716800,"Vilas",10082.7986599422,4051525.24420251,39,116,158,NA,NA,NA
995200,"Vilas",8238.87383190006,2539800.7441308,21,55,73,NA,NA,NA
1018500,"Vilas",5826.29728813376,872113.381075257,29,102,133,NA,NA,NA
1539700,"Vilas",7714.45871802792,1067658.30863435,67,181,247,NA,NA,NA
1545300,"Vilas",7895.05921258107,1942087.71309409,24,80,129,NA,NA,NA
1545600,"Vilas",13494.8866209537,4331578.08693329,66,165,245,NA,NA,NA
1591100,"Vilas",12994.0304306945,6563022.9205418,98,402,589,NA,NA,NA
1592400,"Vilas",21548.1954425078,4279474.55154691,189,383,504,NA,NA,NA
1593100,"Vilas",19124.094076903,4934021.19488026,54,92,121,NA,NA,NA
1596300,"Vilas",22961.0641285611,3932298.04663549,325,730,946,NA,NA,NA
1599600,"Vilas",6413.92730259635,775866.944960907,39,173,239,NA,NA,NA
1599900,"Vilas",2517.68459801042,428707.301265727,37,114,193,NA,NA,NA
1600000,"Vilas",1793.26381950249,127451.567190036,22,46,80,NA,NA,NA
1600100,"Vilas",3760.13505020421,703373.737195926,64,136,224,NA,NA,NA
1600200,"Vilas",7489.94141933307,2326247.00775246,76,190,272,NA,NA,NA
1600300,"Vilas",6808.81798387627,1065443.22486092,35,144,209,NA,NA,NA
1603400,"Vilas",9224.81694133656,579314.062567888,41,132,178,NA,NA,NA
1603700,"Vilas",16999.9371257925,3956039.10466271,166,513,744,NA,NA,NA
1621000,"Vilas",8528.81581022482,1530390.79743963,55,170,234,NA,NA,NA
1621800,"Vilas",8418.3437198121,1995115.51686784,74,188,239,NA,NA,NA
1623800,"Vilas",17352.0067449515,11618560.2922152,211,514,744,NA,NA,NA
1629500,"Vilas",10823.650376379,2372770.84961058,94,222,259,NA,NA,NA
1630100,"Vilas",12298.8058633867,2281658.2159813,139,274,317,NA,NA,NA
1631900,"Vilas",31399.4142075091,17806930.4127835,136,319,489,NA,NA,NA
1835300,"Vilas",16140.9814864567,3631625.99143365,24,52,71,NA,NA,NA
1862100,"Vilas",3189.43912041033,156979.044454164,0,0,0,NA,NA,NA
1881900,"Vilas",3777.45383422708,636025.185183129,9,17,23,NA,NA,NA
2268600,"Vilas",3794.15337979068,569856.626444679,9,35,51,NA,NA,NA
2310200,"Vilas",10842.6686587543,1886606.12874844,72,190,261,NA,NA,NA
2310400,"Vilas",8760.06268350832,1453446.33586312,108,211,259,NA,NA,NA
2311100,"Vilas",10270.1852563379,2048601.81252372,91,229,276,NA,NA,NA
2311700,"Vilas",5933.04187501541,486617.548216629,32,83,107,NA,NA,NA
2316600,"Vilas",6281.48076151882,1248729.80530305,21,36,38,NA,NA,NA
2327500,"Vilas",14282.8360752969,2650440.77898564,134,280,348,NA,NA,NA
2328700,"Vilas",13272.6383281265,1709402.19488823,103,261,307,NA,NA,NA
2328800,"Vilas",5896.12900811912,557276.764138578,36,91,127,NA,NA,NA
2328900,"Vilas",4514.20435095769,282795.98728614,13,37,68,NA,NA,NA
