wbic,Secchi_satellite,Secchi,Calcium,Conductance,Alkalinity,pH,totalP,Color,Dissolved OC,MEI
32500,2.865721652,NA,NA,510,213,8.1,NA,5,NA,106.25
32700,NA,3,NA,505,286,8.1,NA,4,7,NA
32800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34100,2.564385256,2.4,NA,478,236,8.1,NA,4,NA,NA
34300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34500,NA,1,NA,516,320,8.5,NA,1,5.5,NA
34600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34700,2.545705667,2.4,NA,312,166,8.3,NA,4,NA,148.5714286
35000,NA,2,NA,366,198,7,NA,1,5.3,NA
35400,0.815858166,0.9,NA,495,NA,NA,NA,NA,NA,550
35750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35900,2.285366232,1.2,NA,327,173,8.6,NA,1,NA,181.6666667
36000,NA,2,NA,372,200,8.3,NA,2,NA,NA
36200,4.03087016,2.4,46,442.2139738,194,8.189414414,NA,4,NA,73.70232897
36700,0.679787177,1.5,NA,297,166,8.5,NA,4,NA,330
36800,NA,2,NA,284,155,8.4,NA,4,NA,NA
37800,2.718749524,4.5,NA,307,152,8.4,NA,4,NA,85.27777778
37900,2.035261091,3.3,NA,365,202,8.1,NA,4,NA,101.3888889
38000,NA,2,NA,325,182,7.9,NA,1,NA,NA
38200,3.334131404,0.9,NA,516,193,7.6,NA,1,NA,143.3333333
38500,NA,4,NA,491,262,8.2,NA,4,NA,NA
38700,1.926030057,3.3,NA,366,158,8.6,NA,4,NA,55.45454545
38900,NA,1.8,NA,594,265,7.8,NA,4,NA,NA
40900,2.257076417,2.4,NA,413,NA,NA,NA,NA,NA,275.3333333
41900,NA,2,NA,463,240,8.1,NA,1,NA,NA
42200,0.894556302,2.4,NA,397,177,8.4,NA,4,NA,330.8333333
42400,1.783116132,3.6,NA,567,117,8.5,NA,1,NA,135
42700,NA,2,NA,255,124,7.7,NA,1,NA,NA
42800,3.268923284,2.1,NA,263,133,9.2,NA,2,NA,97.40740741
43100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43300,1.572090684,1.8,NA,631,NA,NA,NA,NA,NA,525.8333333
43700,1.728921952,1.55,42,396.9,228,7.82,0.03,2,NA,165.375
43900,2.401734314,1.2,22,216,126.5,8.3,0.016,4,NA,120
44600,0.873149131,0.3,NA,912,168,9.2,NA,5,NA,760
45000,2.203285814,3.3,NA,327,148,8.3,NA,4,NA,NA
45100,4.436105761,2.4,27,269.3059571,116,8.248399209,NA,4,NA,99.74294707
45200,5.461714976,5.1,NA,302,164,8.5,NA,4,NA,50.33333333
45300,NA,2,NA,105,49,7.9,NA,4,NA,NA
45400,NA,2,NA,303,187,8.3,NA,4,NA,NA
45500,NA,1,NA,362,211,8.8,NA,1,NA,NA
45600,NA,2,NA,386,183,8.8,NA,4,NA,NA
45800,NA,22,NA,270,176,8.5,NA,4,NA,NA
46000,2.905441652,2.15,29,314.625,142.5,8.233333333,0.024,4,NA,131.09375
46100,NA,NA,NA,77,32,6.9,NA,1,NA,NA
46200,NA,2,NA,299,152,8.6,NA,4,NA,NA
46300,NA,1,NA,45,34,7,NA,4,NA,NA
46400,NA,1,NA,472,232,7.3,NA,4,NA,NA
46500,NA,4,NA,626,272,8.7,NA,4,NA,NA
46600,11.55909125,4,NA,494,205,8.4,NA,4,NA,47.04761905
46700,NA,3,NA,360,145,8.7,NA,2,NA,NA
46800,4.238139395,1.5,NA,298,136,8.4,NA,4,NA,NA
47300,NA,1,NA,808,300,6.9,NA,1,NA,NA
47400,NA,2,NA,337,170,8.3,NA,2,NA,NA
