wbic,year,adults.acre
2694000,2001,1.17
2694000,1991,2.37
2695800,1998,0.37
2695800,1992,0.8
2704200,2008,0.56
2704200,2002,1.92
2704200,1993,2.06
2704200,1995,4.76
2704200,1992,14.54
2706500,2003,1.11
2706500,1999,1.53
2706500,1990,2.09
2706800,2007,0.92
2706800,1996,1.96
2706800,1996,1.96
2706800,1996,1.96
2706800,1990,3.27
2710800,1992,1.03
2710800,1992,1.03
2726100,2002,0.45
2726100,1993,1.92
2732600,2011,4
2732600,2000,4.41
2732600,1993,5.02
2732600,2002,5.1
2734200,2002,1.09
2734200,1993,1.52
2741600,2011,2.14
2741600,1991,2.18
2741600,2007,2.49
2741600,1995,2.54
2741600,1993,3.75
2741600,2001,4.76
2742100,2010,2.31
2742100,1991,4.52
2742100,1998,4.54
2742100,2004,4.58
2742100,1993,5.07
2742100,1996,5.83
2742100,2007,6.57
2742500,2010,1.98
2742500,2004,2.26
2742500,1998,2.59
2742500,2007,3.01
2742700,2011,0.56
2742700,1999,1.69
2742700,2004,2.02
2742700,2004,2.02
2742700,1991,2.39
2742700,1993,2.42
2747300,1997,2.89
2747300,2009,3.01
2747300,1992,3.43
2762200,1990,2.44
2762200,2003,3.53
2762200,2006,5.33
2767100,2011,0.44
2767100,1995,0.69
2856400,1996,1.13
2856400,1992,4.38
2858100,1991,2.79
2858100,2006,2.91
2858100,1999,4.15
2858300,2004,7.24
2865000,2005,1.26
2865000,2005,1.26
2865000,2005,1.26
2865000,1998,1.67
2865000,1997,1.76
2865000,1997,1.76
2865000,1994,2.58
2865000,1992,3.41
2866200,1995,1.41
2866200,2000,1.76
2882300,2011,1.17
2882300,2010,1.77
2882300,2005,2.12
2882300,2007,2.48
2882300,2008,2.59
2882300,2004,2.72
2882300,1995,2.74
2882300,1995,2.74
2882300,2003,2.92
2882300,2003,2.92
2882300,2003,2.92
2882300,2006,2.99
2882300,2009,3.13
2882300,1996,3.86
2882300,1997,4.37
2882300,1997,4.37
2882300,1997,4.37
2882300,1997,4.37
2882300,1999,4.77
2882300,2002,5.58
2882300,2001,6.39
2882300,2001,6.39
2882300,2001,6.39
2882300,2001,6.39
2882300,2000,6.65
2882300,1998,10.82
2882300,1998,10.82
2882300,1998,10.82
2897100,2006,1.15
2897100,2003,1.74
2897100,1996,3.26
2897300,1996,1.83
2897300,2006,1.83
2897300,2003,2.42
2897300,2009,2.5
2899200,2009,1.13
2899200,1995,1.94
2899400,1998,0.73
2899400,2010,1.47
2900200,2007,1.13
2900200,2003,1.16
2900200,2003,1.16
2900200,1994,1.55
2900200,1999,1.81
2900200,2001,1.85
2902800,2010,0.31
2902800,2001,1
2902900,1991,0.28
2902900,2010,0.32
2902900,2001,0.86
2903100,2010,2.03
2903100,1991,4.23
2903100,2001,5.98
2903200,2010,2.03
2903200,2001,5.98
2903200,1991,7.39
2903700,2010,2.03
2903700,2001,5.98
2903700,1991,8.97
2903800,2010,2.03
2903800,2001,5.98
2914800,2011,0.77
2914800,1993,1.61
2916900,1996,2.79
2916900,2006,4.02
2917200,2003,3.76
2936200,2007,5.15
2942300,1993,1.8
2942300,2003,2.6
2949200,1990,3.96
2949200,1998,4.53
2949200,2002,4.98
2949200,2005,5.57
2949200,1992,7.04
2949200,2011,7.98
2949200,2008,8.82
2953100,2000,5.47
2953100,2010,8.18
2953500,1993,1.92
2953500,2000,2.74
2953500,2000,2.74
2953500,2002,2.74
2953800,2003,1.43
2953800,1996,1.45
2953800,1995,1.7
2953800,2009,2.14
2953800,2011,2.92
2953800,1997,3.82
2953800,2002,4.46
2953800,2005,4.46
2953800,1999,4.65
2954500,1994,1.4
2954500,1998,1.76
2954500,2010,2.42
2954500,1991,2.63
2954500,1992,3.58
2954800,2008,4.38
2954800,1994,4.54
2956500,2005,1.51
2956500,1998,1.53
2956500,1990,2.29
2956500,1992,2.88
2956700,1990,2.28
2956800,1990,2.29
2958500,2006,2.41
2958500,1992,2.6
2958500,1997,3.77
2962400,1995,6.22
2962400,2007,7.75
2962400,2009,8.07
2962400,1992,22.83
2962900,1992,0.65
2962900,2009,0.8
2963800,1999,5.81
2963800,2008,13.7
2963800,1991,14.82
2964100,1999,3.98
2914800,2011,0.77
2406500,2012,2.61
2079800,2011,1.07
2094000,2012,0.41
2094600,2012,0.46
2469800,2013,1.18
2767100,2011,0.44
2732600,2011,4
2882300,2011,1.17
2897300,2012,0.53
2897100,2012,0.46
2706800,2012,0.51
2461100,2013,0.35
2169200,2012,0.43
2143900,2014,0.59
2128100,2012,3.61
672900,2012,0.45
677100,2013,0.76
679300,2013,1.34
608400,2013,1.58
2949200,2011,7.98
2296500,2012,1.3
2309700,2013,1.87
2307300,2013,0.65
389300,2012,0.04
1494600,2011,1.36
1519600,2012,0.4
1502400,2013,4.74
1503000,2013,3.63
545400,2012,0.26
417400,2011,1.17
1595600,2011,1.48
983500,2012,0.36
995000,2012,1.82
1595300,2012,3.33
1586600,2013,3.98
2620600,2011,0.74
2641000,2011,2.77
2621100,2012,0.47
2267800,2012,2.26
2350600,2012,0.04
2350400,2012,0.04
2399700,2011,3.07
2046500,2011,13.75
2396800,2012,1.29
2393200,2012,8.46
2275300,2013,0.25
2166100,2012,1
2340700,2011,3.97
1591100,2011,2.99
1630100,2011,0.87
2339900,2011,12.86
1593400,2011,0.91
2340500,2011,1.41
2953800,2011,2.92
1880700,2011,2.67
2271600,2011,3.9
1602600,2012,0.67
2339900,2012,5.95
1631900,2012,1.15
1592400,2012,3.07
2956501,2012,1.32
1881900,2012,1.85
1880700,2012,1.89
1599900,2013,1.97
2963200,2013,3.95
1880700,2013,3.45
2339900,2013,8.05
1835300,2013,5.8
2338300,2013,3.87
2762200,2013,3.25
1880700,2013,5.15
2691500,2012,0.05
2451900,2012,4.01
2106800,2012,1.75
2451900,2013,6.74
2706500,2013,0.53
