wbic,Area,Length,MaxDepth,MeanDepth
48300,52080.20479,866.409571,3,NA
48600,28505.30739,709.920863,0.9,NA
48700,13156.01371,641.457076,NA,NA
48760,43702.26166,994.629794,NA,NA
48790,10895.68132,383.521277,NA,NA
48800,29425.85901,835.383874,NA,NA
48900,26635.79986,625.523498,NA,NA
49100,16651.02904,475.152003,NA,NA
49300,22327.19779,561.713092,NA,NA
49400,22713.18194,559.424046,NA,NA
49800,43653.08112,933.71767,7.5,4.2
52200,155807.0025,3834.285957,1.8,NA
52500,144045.2643,3352.476403,2.1,NA
52900,12579.52233,434.546868,NA,NA
53000,25312.7416,783.749182,NA,NA
54600,111673.041,2224.44707,1.8,NA
55300,24718.23213,1820.740513,NA,NA
55600,28313.16982,1105.066993,NA,NA
56000,1373459.143,10379.25136,NA,NA
56200,767807.1027,5880.765753,2.1,NA
56600,60460.75883,1237.294233,11.1,NA
56700,30817.52604,746.439036,6.3,NA
57900,54225.9676,1158.797153,9.3,NA
58000,374460.6887,2684.138721,6.3,2.7
58200,34790.96793,683.985032,NA,NA
58400,309316.7276,3034.155189,1.8,0.6
58900,2613784.493,17218.49791,1.2,NA
59300,1180058.612,6238.087761,35.7,13.8
60500,45367.04618,854.383666,2.1,1.5
60800,303597.1025,3087.602956,14.1,5.7
60900,66476.34998,1214.03952,3.9,2.1
61200,58996.62252,1004.768006,1.5,NA
62700,63699.7155,1059.461018,12.6,NA
63600,17927.27756,615.342864,NA,NA
63700,36850.90661,976.310036,NA,NA
63800,31306.33888,751.414976,NA,NA
64000,322494.0812,2682.17869,18.6,6
64200,83212.85566,1817.205203,16.2,7.5
64300,16130.65899,460.709694,NA,NA
65600,15939.47626,1106.353279,NA,NA
66200,17376.24461,687.273635,NA,NA
66600,14050.89808,598.891519,NA,NA
66800,90411.65518,1273.818307,8.4,3.6
67100,24198.86036,655.284584,NA,NA
67200,151398.9365,1915.470726,18,6
67400,293863.3968,4192.943495,12.9,4.8
67700,19769.06265,592.741491,NA,NA
67900,20878.75274,541.137259,NA,NA
68100,194037.9392,1755.916402,24,NA
68300,281339.3774,2058.305173,12,3.9
68400,22050.91975,571.287314,NA,NA
68600,46019.95563,856.171821,15,6.6
68700,22503.29149,600.057914,NA,NA
69000,11213.16408,481.447354,NA,NA
69800,36479.69956,1053.913858,0.9,NA
70000,29713.99348,1039.721286,1.2,NA
70100,12687.30627,431.131713,NA,NA
70700,10500.48316,421.164101,NA,NA
71700,45472.59332,960.658893,5.4,NA
72100,56381.30444,1051.017714,1.5,NA
72700,11161.20028,424.77505,NA,NA
72800,53125.30279,1074.182569,9.6,5.4
73100,153649.5492,4763.941207,1.8,NA
74300,36197.88914,861.925815,NA,NA
74700,17515.86124,517.556149,NA,NA
74800,15491.41679,633.356379,NA,NA
74900,11925.84539,466.183462,NA,NA
75200,735463.6573,10432.49989,NA,NA
77200,111543.709,1562.398979,NA,NA
77300,142297.2848,1635.047585,15.9,4.8
77500,515067.2129,5370.221438,11.4,NA
77600,42523.46918,1017.888259,4.8,2.4
79100,22013.95162,697.023698,NA,NA
79300,11503.32767,494.039281,NA,NA
79500,16829.16843,471.905668,NA,NA
79600,39609.99168,967.15679,0.9,NA
79800,69970.04058,1817.190421,1.5,0.6
81000,16018.68666,468.746419,NA,NA
81200,42803.66602,1241.946408,2.1,0.9
82800,68150.19849,1116.204495,NA,NA
82900,169353.4201,2035.750087,6.3,3
83000,26377.39424,584.600298,NA,NA
83100,46635.97651,810.940233,4.2,NA
83700,61694.57202,1021.073081,0.6,NA
84600,130293.0476,1476.44842,16.2,6
84700,28431.30765,667.541633,NA,NA
85000,22946.76689,553.184444,NA,NA
85200,94135.18807,1400.389857,10.2,4.2
85300,211617.4288,1918.854543,6,NA
85400,127564.0588,2047.510251,7.2,3.3
87900,56738.36268,1000.300228,10.8,3.3
89800,21901.2407,590.898939,NA,NA
90600,22978.75081,750.319604,NA,NA
91400,12287.81625,496.703932,NA,NA
92600,44264.21964,1364.08081,0.6,NA
92700,142002.1879,1861.426934,0.6,NA
92900,15448.03834,473.039118,NA,NA
93100,1203223.311,5776.655141,3,1.8
93200,15846.16938,494.734772,NA,NA
93300,164228.2309,2101.818038,1.8,NA
93400,44439.94158,1637.351153,0.6,NA
93500,1425402.63,5981.625769,8.1,1.8
93700,116973.9958,1632.440143,1.2,NA
93800,13330.46705,548.366013,NA,NA
94200,203817.527,2280.755089,15,5.1
94300,107855.6416,1766.678773,12.3,4.5
94500,24482.70158,607.321099,NA,NA
94700,75157.92937,1345.611024,11.4,6.3
95100,18962.29484,965.454801,NA,NA
95700,380477.5613,7443.174077,1.5,0.6
96900,131412.9829,3306.016735,NA,NA
97300,195827.0771,5584.802928,0.3,NA
97700,3501075.047,10333.03689,7.5,2.1
97900,373433.4689,3963.854669,1.5,NA
98300,27649.75972,596.75658,NA,NA
98600,4679764.4,17574.62915,3.6,1.8
98900,85626.12482,2207.546518,0.6,NA
99100,682838.1087,5221.303894,1.5,NA
100000,81471.84743,1472.009784,2.1,NA
101100,27553.00072,808.21206,NA,NA
101300,84883.34018,1257.37108,3.6,1.5
101400,129141.8532,3316.788537,2.4,NA
101500,19190.8036,603.634945,3.6,NA
101600,31708.44311,704.810349,NA,NA
101700,288028.3042,3234.982917,3.6,1.5
101800,49838.49143,1016.199355,7.2,NA
101900,67994.46009,1156.103913,NA,NA
102000,39878.91795,765.181449,4.2,NA
102100,94958.70848,1115.680045,5.4,2.7
102200,16450.90097,707.753563,3.9,NA
102300,55100.4411,864.266676,4.5,NA
102500,43978.70144,783.784737,NA,NA
102600,192990.6782,3240.046599,16.8,4.2
102700,96707.0936,1533.654014,NA,NA
102800,135269.2442,1983.137062,14.1,NA
102900,60470.18143,1113.442109,4.2,NA
103000,30681.5647,801.903867,2.7,NA
103100,51201.93876,1024.954639,2.4,NA
103200,34549.77426,732.881476,NA,NA
103300,130673.7314,1520.99631,23.7,NA
103400,165691.4968,1793.136132,9,1.5
